app_id;count
945360;463287
238460;57704
477160;116523
285190;8570
1180380;3495
704850;8204
357190;2517
4000;632558
683320;36779
379720;132997
748490;1619
362890;54522
677120;4622
1089980;19211
524220;69684
236510;2214
629760;68359
594650;64372
512900;12237
678950;30864
503940;5175
364360;35877
582160;53493
476600;17195
823130;28986
283640;11313
1017900;4853
252490;468892
413420;13228
779340;56996
55230;56947
728880;23433
621060;27882
723390;689
526870;41208
284160;57643
425580;11088
485510;19851
355790;2624
346110;315243
40800;26744
772540;935
1144400;5004
400940;1020
428690;9566
1190460;44893
374320;220614
420290;17619
334040;797
513710;31785
1015500;1438
221640;21532
626690;11545
782330;94222
648800;90017
546050;3760
385560;587
518790;57452
445220;7417
960090;57700
787480;9146
571740;10145
227300;377866
863550;43707
270880;68206
686600;672
460930;39602
1229490;5558
212680;55237
447530;23168
620980;44253
1113000;39080
583950;11283
428550;7727
413150;308852
551730;957
8930;164797
504230;30751
613100;32939
282560;1300
541210;2325
262060;78012
637670;1308
609320;7494
510510;922
221380;82621
258180;1243
391220;85475
620;229470
306130;74344
312660;25276
644930;27049
594570;79700
247240;1781
236850;74790
292030;460252
1158310;42458
1289310;84683
105600;658741
8870;102220
569860;2626
275850;125508
899440;4179
291860;6392
731490;9584
858210;3474
72850;279455
255710;136499
598330;2218
792990;439
239030;38549
427520;107111
673950;11559
620590;4277
294100;92443
271590;831311
560130;10118
593600;5370
225540;65257
681660;3871
857980;3111
632350;3665
247730;7187
589360;6449
701160;5922
269950;9090
788260;3022
391540;139116
1170880;5262
1055540;5797
412830;9402
502800;3907
447820;17321
304390;61762
619080;1921
390340;707
787860;35591
666140;27466
242760;226711
464920;11435
526160;4052
648350;32054
219150;58490
489830;126559
205100;54825
1291340;7503
637090;17694
405710;2765
619290;594
242920;31247
1128000;6337
1222700;9766
107410;164851
417290;3049
493340;39464
264200;15220
501080;1391
537800;6832
552520;66555
644560;58581
435150;109059
397540;56159
424840;19335
339800;23771
322330;229881
427290;10029
200900;5845
543460;2245
268910;66159
394360;106448
292730;9974
814380;113339
253230;34318
530070;5034
583470;1875
203160;174333
281990;81866
637650;26536
730310;2438
585420;5373
825630;3089
758190;4130
47890;19471
1145360;117085
268500;52732
544750;6632
631510;2697
555220;8858
429660;11071
812140;82033
239140;203547
206440;50890
204360;71966
611760;998
7510;1720
433340;56589
250900;122069
252950;449464
646910;29624
418370;33798
590380;10590
636480;30640
773951;7758
517630;10431
466560;28681
240;113430
332200;3738
457140;57789
352550;759
527230;15221
677160;3050
574050;423
508440;51082
420530;18615
70;55312
638970;29774
264710;146075
732810;957
646570;84207
572410;3814
481510;10171
582010;245396
323190;54317
595520;3746
240720;26314
356190;46362
673880;6612
2870;2970
48700;121050
214950;48041
743450;7440
688130;1972
1240210;8281
531510;9075
286160;36340
297130;4567
289070;119046
883710;80352
696170;2418
288160;15448
548430;69822
382310;4815
367520;261280
431960;287425
206190;11304
440900;48344
447040;39241
817130;2054
272270;2505
238320;62969
753650;2657
207610;51088
454200;89
570940;31393
872790;10262
312530;26938
582660;27861
712100;6641
1225330;5518
274190;39799
32470;19962
671510;3878
495560;1392
606280;7551
640820;15982
736260;11555
1056960;3389
218620;428136
613830;3226
1118200;25995
760060;14701
524580;1782
311690;53198
113200;46706
250320;24357
381210;345582
552500;49940
377160;179212
214560;15036
379430;59270
543900;2668
739630;213724
213670;43747
35140;29875
275390;4909
250760;12579
233860;37663
671440;2413
629910;1359
413410;16180
489940;9862
393520;2471
841370;8851
519860;10850
690830;6061
39210;26233
577800;5465
1057090;50490
753420;4833
219740;82379
420;22704
581320;53881
535930;20101
421020;8343
322110;3349
834910;17290
698780;144123
502280;1264
359550;742397
578080;886417
337340;10199
341800;8638
546560;50428
875210;4677
588650;62664
